"rho","n","num_pontos","cor","vicio","eqm","ic_boot_tx_cobertura_amplitude"
0,100,3,"policorica",0,0.015,"0.958 (0.49)"
0,100,3,"pearson",0,0.009,"0.955 (0.389)"
0,100,5,"policorica",0.001,0.013,"0.949 (0.433)"
0,100,5,"pearson",0.001,0.01,"0.95 (0.387)"
0,100,7,"policorica",0.001,0.012,"0.941 (0.415)"
0,100,7,"pearson",0.001,0.01,"0.945 (0.388)"
0,350,3,"policorica",0.002,0.005,"0.942 (0.263)"
0,350,3,"pearson",0.002,0.003,"0.943 (0.208)"
0,350,5,"policorica",0.003,0.003,"0.959 (0.232)"
0,350,5,"pearson",0.003,0.003,"0.963 (0.208)"
0,350,7,"policorica",0.004,0.003,"0.963 (0.222)"
0,350,7,"pearson",0.003,0.003,"0.966 (0.208)"
0,500,3,"policorica",0.001,0.004,"0.937 (0.219)"
0,500,3,"pearson",0.001,0.002,"0.936 (0.174)"
0,500,5,"policorica",0.001,0.003,"0.939 (0.194)"
0,500,5,"pearson",0.001,0.002,"0.94 (0.174)"
0,500,7,"policorica",0.001,0.002,"0.931 (0.187)"
0,500,7,"pearson",0,0.002,"0.935 (0.174)"
0.2,100,3,"policorica",0.001,0.014,"0.956 (0.475)"
0.2,100,3,"pearson",-0.04,0.011,"0.948 (0.381)"
0.2,100,5,"policorica",0.001,0.012,"0.945 (0.419)"
0.2,100,5,"pearson",-0.02,0.01,"0.947 (0.377)"
0.2,100,7,"policorica",0,0.011,"0.948 (0.4)"
0.2,100,7,"pearson",-0.015,0.01,"0.946 (0.376)"
0.2,350,3,"policorica",0.002,0.004,"0.957 (0.254)"
0.2,350,3,"pearson",-0.039,0.004,"0.889 (0.204)"
0.2,350,5,"policorica",0.004,0.003,"0.952 (0.223)"
0.2,350,5,"pearson",-0.018,0.003,"0.938 (0.202)"
0.2,350,7,"policorica",0.003,0.003,"0.952 (0.214)"
0.2,350,7,"pearson",-0.013,0.003,"0.949 (0.202)"
0.2,500,3,"policorica",0.001,0.003,"0.936 (0.213)"
0.2,500,3,"pearson",-0.04,0.004,"0.826 (0.171)"
0.2,500,5,"policorica",0.001,0.002,"0.941 (0.187)"
0.2,500,5,"pearson",-0.021,0.002,"0.907 (0.169)"
0.2,500,7,"policorica",0,0.002,"0.932 (0.18)"
0.2,500,7,"pearson",-0.016,0.002,"0.919 (0.169)"
0.5,100,3,"policorica",-0.001,0.011,"0.948 (0.395)"
0.5,100,3,"pearson",-0.093,0.016,"0.79 (0.336)"
0.5,100,5,"policorica",-0.001,0.007,"0.952 (0.341)"
0.5,100,5,"pearson",-0.049,0.009,"0.911 (0.319)"
0.5,100,7,"policorica",-0.002,0.007,"0.94 (0.323)"
0.5,100,7,"pearson",-0.036,0.008,"0.925 (0.314)"
0.5,350,3,"policorica",0.003,0.003,"0.961 (0.209)"
0.5,350,3,"pearson",-0.089,0.01,"0.47 (0.18)"
0.5,350,5,"policorica",0.003,0.002,"0.953 (0.18)"
0.5,350,5,"pearson",-0.045,0.004,"0.807 (0.17)"
0.5,350,7,"policorica",0.002,0.002,"0.95 (0.171)"
0.5,350,7,"pearson",-0.031,0.003,"0.887 (0.166)"
0.5,500,3,"policorica",0,0.002,"0.943 (0.175)"
0.5,500,3,"pearson",-0.091,0.01,"0.32 (0.15)"
0.5,500,5,"policorica",0,0.002,"0.942 (0.151)"
0.5,500,5,"pearson",-0.047,0.004,"0.715 (0.142)"
0.5,500,7,"policorica",0,0.001,"0.931 (0.143)"
0.5,500,7,"pearson",-0.034,0.003,"0.826 (0.139)"
0.8,100,3,"policorica",0.001,0.003,"0.949 (0.227)"
0.8,100,3,"pearson",-0.111,0.016,"0.358 (0.226)"
0.8,100,5,"policorica",0,0.002,"0.945 (0.183)"
0.8,100,5,"pearson",-0.053,0.005,"0.765 (0.185)"
0.8,100,7,"policorica",-0.001,0.002,"0.945 (0.17)"
0.8,100,7,"pearson",-0.036,0.003,"0.844 (0.174)"
0.8,350,3,"policorica",0.003,0.001,"0.946 (0.116)"
0.8,350,3,"pearson",-0.108,0.013,"0.01 (0.119)"
0.8,350,5,"policorica",0.002,0.001,"0.951 (0.094)"
0.8,350,5,"pearson",-0.051,0.003,"0.37 (0.097)"
0.8,350,7,"policorica",0.001,0,"0.949 (0.088)"
0.8,350,7,"pearson",-0.033,0.002,"0.675 (0.091)"
0.8,500,3,"policorica",0,0.001,"0.941 (0.098)"
0.8,500,3,"pearson",-0.111,0.013,"0.004 (0.1)"
0.8,500,5,"policorica",0.001,0,"0.938 (0.079)"
0.8,500,5,"pearson",-0.052,0.003,"0.212 (0.081)"
0.8,500,7,"policorica",0,0,"0.947 (0.073)"
0.8,500,7,"pearson",-0.034,0.002,"0.524 (0.076)"
